filename,path,size,chunk_id,chunk_count
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,0,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,1,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,2,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,3,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,4,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,5,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,6,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,7,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,8,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,9,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,10,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,11,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,12,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,13,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,14,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,15,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,16,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,17,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,18,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,19,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,20,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,21,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,22,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,23,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,24,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,25,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,26,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,27,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,28,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,29,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,30,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,31,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,32,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,33,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,34,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,35,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,36,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,37,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,38,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,39,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,40,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,41,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,42,96
EnterAir.txt,C:\Users\Albert\Desktop\STUDIA\Sem2\Zastosowanie AI\Regulaminy\txts\EnterAir.txt,40402,43,96
